입니다;sein(formell);;I
정말;wirklich;;I
진짜;echt;;I
님;Herr,Frau;;I
아/야;Anrede(informell);;I
씨;Herr,Frau;;I
이에요/예요;sein;;I
네,예;ja;;I
아니요;nein;;I
은/는;Themapartikel;;I
이/가;Subjektpartikel;;I
을/를;Objektpartikel;;I
에서;Ortspartikel;;I
하고;und;;I
에;Ortspartikel;;I
그런데;aber, apropos, übrigens;;II
위;auf;;I
아래, 밑;unter;;I
앞;vor;;I
뒤;hinter;;I
왼쪽;links;;I
오른쪽;rechts;;I
밖;außerhalb, draußen;;I
옆;neben;;I
사이;zwischen;;I
이 근처;in der Nähe;;I
도;auch;;I
하지만;aber;;I
들;Nomenendung für die Mehrzahl;;I
그리고, 고;und;;I
하고 같이;mit jmd. zusammen;;II
하지만, 지만;aber;;II
만;nur;;I
그래도;trotzdem, dennoch;;II
나;ich;;I
때문에;wegen;;II
N에 대한;über;;II
부터;von;;I
까지;bis;;I
아니면;oder (wenn nicht);;II
N을/를 위해서;für N;;II
후/이후;nach;;II
N끼리;untereinander, miteinander, gegenseitig;;II
저희;wir, unser, uns;;II
그러니까;deshalb, deswegen, also;;II
따라(서);folgen, entlang;;II
처럼/같이;wie;;II
만큼;so viel wie;;II
그런데도;trotzdem, dennoch, doch;;II
